,path,label_full,label
0,PokemonData\Abra\0282b2f3a22745f1a436054ea15a0ae5.jpg,Abra,63
1,PokemonData\Abra\06b9eec4827d4d49b1b4c284308708df.jpg,Abra,63
2,PokemonData\Abra\10a9f06ec6524c66b779ea80354f8519.jpg,Abra,63
3,PokemonData\Abra\1788abb8b51f48509cfac8067bd99e14.jpg,Abra,63
4,PokemonData\Abra\28cfad92ad934d1f9b579cbff4b5d012.jpg,Abra,63
5,PokemonData\Abra\2eb2a528f9a247358452b3c740df69a0.jpg,Abra,63
6,PokemonData\Abra\2fd28e699b7c4208acd1637fbad5df2d.jpeg,Abra,63
7,PokemonData\Abra\32240b108a8140f8b31c495166fc453c.jpg,Abra,63
8,PokemonData\Abra\34532bb006714727ade4075f0a72b92d.jpg,Abra,63
9,PokemonData\Abra\3680c3f65a484c3ba05a7cb93e1d7ae3.jpg,Abra,63
10,PokemonData\Abra\3c4ab4f4e1d548e5bc038715b47b4d51.jpg,Abra,63
11,PokemonData\Abra\48412baa8527483d8e8ddb8555d2eeff.jpg,Abra,63
12,PokemonData\Abra\4e554e4a0f624656a7b1542b679b6157.jpg,Abra,63
13,PokemonData\Abra\586c195c0bcd48158db71c1d7f75197c.jpg,Abra,63
14,PokemonData\Abra\5c0ca320656b4f2fadea7aefeb80da53.jpg,Abra,63
15,PokemonData\Abra\6119be89c1d24539a0310f40b947afc1.jpg,Abra,63
16,PokemonData\Abra\649a7e234cac44feba6da6652127f423.jpg,Abra,63
17,PokemonData\Abra\7a300d6f799c48d1943cafaa5ab24e27.jpg,Abra,63
18,PokemonData\Abra\7b9859252d9346f6b3e7bc46d423c116.jpg,Abra,63
19,PokemonData\Abra\86c823fe351549c7818efd6ca718556e.jpg,Abra,63
20,PokemonData\Abra\95f205f244b54c00920626d669ea83e1.jpg,Abra,63
21,PokemonData\Abra\9754fcfa5d39464785f953e7c9da73d1.jpg,Abra,63
22,PokemonData\Abra\aabb27dd7e1c4508880bd8cc1141c340.jpg,Abra,63
23,PokemonData\Abra\b065da5f186d4f9db497012350b31a9f.jpg,Abra,63
24,PokemonData\Abra\b0b6de31451f4e7aa3411fe0963a7f4f.jpg,Abra,63
25,PokemonData\Abra\bd0873f54401446cacfafdac70f82cd3.jpg,Abra,63
26,PokemonData\Abra\bdd70647363b47d0a97a6a9a1a7dd469.jpg,Abra,63
27,PokemonData\Abra\c1c82c89958a4839a074910de72df05a.jpg,Abra,63
28,PokemonData\Abra\c241146097b44c2e98ee7e473f90074a.jpg,Abra,63
29,PokemonData\Abra\c9ab368481e446d685b1c1fdb42487df.jpg,Abra,63
30,PokemonData\Abra\d1ba8548fced4b53821bfc1e0612324f.jpg,Abra,63
31,PokemonData\Abra\e106e14eb8b54eff8bea6f765ea9d20c.jpg,Abra,63
32,PokemonData\Abra\e297786c64574fbbb264dc6274aa5864.jpg,Abra,63
33,PokemonData\Abra\e3da65f45d7841c8a14d591a24c0e2bc.jpg,Abra,63
34,PokemonData\Abra\ff32e38a281d48d2bb2c7157fd6448d0.jpg,Abra,63
35,PokemonData\Aerodactyl\029d0c659dc448f49993648b024e615c.jpg,Aerodactyl,142
36,PokemonData\Aerodactyl\0598db9a1de245db9719661466001511.jpg,Aerodactyl,142
37,PokemonData\Aerodactyl\0813a450419f4733bfa5f782810219a8.jpg,Aerodactyl,142
38,PokemonData\Aerodactyl\0a15b831d1b947fda035aaf637c58215.jpg,Aerodactyl,142
39,PokemonData\Aerodactyl\0eab1e1f744340fa87268f2b558c7ccf.jpg,Aerodactyl,142
40,PokemonData\Aerodactyl\0f5ec128d07341989cb8786fec08c885.jpg,Aerodactyl,142
41,PokemonData\Aerodactyl\1727be397509465f9d3dafbf3849a8f1.jpg,Aerodactyl,142
42,PokemonData\Aerodactyl\25adea61e7624a84a8fbe88d7dcbeb6e.jpg,Aerodactyl,142
43,PokemonData\Aerodactyl\25d15a304c354f3e8064249cf704370d.jpg,Aerodactyl,142
44,PokemonData\Aerodactyl\263b3cb088e5448e99335fbda8f73ee7.jpg,Aerodactyl,142
45,PokemonData\Aerodactyl\35933037ff854c2784e5199f6dc8a728.jpg,Aerodactyl,142
46,PokemonData\Aerodactyl\3a3db872afba41279604c7cda5eeeed7.jpg,Aerodactyl,142
47,PokemonData\Aerodactyl\41e07cd07e9a4d25b9ad5a9ca08f3b5e.jpg,Aerodactyl,142
48,PokemonData\Aerodactyl\4c7989f0dc414bb189a4990659dc0e3f.jpg,Aerodactyl,142
49,PokemonData\Aerodactyl\523b396d18584c35a45823b6a145eff6.jpg,Aerodactyl,142
50,PokemonData\Aerodactyl\79f94a276b9a4e06b4884c3b77ef4622.jpg,Aerodactyl,142
51,PokemonData\Aerodactyl\7fb69a33c0ca4c458812233bb4084b01.jpg,Aerodactyl,142
52,PokemonData\Aerodactyl\8c1a69bc6f3746bdabacd8d658041dcb.jpg,Aerodactyl,142
53,PokemonData\Aerodactyl\8e1000fe38a640c2b74abc74e93eb049.jpg,Aerodactyl,142
54,PokemonData\Aerodactyl\9130363164c248e39ef9b2f51efef1df.jpg,Aerodactyl,142
55,PokemonData\Aerodactyl\91a6d66ed71e45c4a7a5a7917ab44666.jpg,Aerodactyl,142
56,PokemonData\Aerodactyl\9509421af9a04d038cfca99ad0f2b885.jpg,Aerodactyl,142
57,PokemonData\Aerodactyl\97ecd443cbf64b31838c723d80b0f1be.jpg,Aerodactyl,142
58,PokemonData\Aerodactyl\a1eb1fcdf2ea490aa3dc6b49a8c88fd5.jpg,Aerodactyl,142
59,PokemonData\Aerodactyl\affe04e2007d4f53a42849bd96cd0520.jpg,Aerodactyl,142
60,PokemonData\Aerodactyl\bb6be0f790654421a4456b1b9242e0a1.jpg,Aerodactyl,142
61,PokemonData\Aerodactyl\bf5489f37c6f4dd688e59254d3bddcab.jpg,Aerodactyl,142
62,PokemonData\Aerodactyl\d1d381e5f2df42a0973e0251751e1a14.jpg,Aerodactyl,142
63,PokemonData\Aerodactyl\d995b3fc3cbe47e4811493dd8f1c4ada.jpg,Aerodactyl,142
64,PokemonData\Aerodactyl\dbbd1c859b8d48878421e058f2d7e26c.jpg,Aerodactyl,142
65,PokemonData\Aerodactyl\e8d4cf4ee37a471bb92ee42e298eb692.jpg,Aerodactyl,142
66,PokemonData\Aerodactyl\eea9ce8c690a4c1380e2d8fc6be729a5.jpg,Aerodactyl,142
67,PokemonData\Aerodactyl\f403dcd3136643e4b43c7d01e14494bc.jpg,Aerodactyl,142
68,PokemonData\Aerodactyl\f6de83f1ed034679bf49b84e0af203ce.jpg,Aerodactyl,142
69,PokemonData\Aerodactyl\f9b2de8410924cb49e75c0178b15103f.jpg,Aerodactyl,142
70,PokemonData\Alakazam\0bdefe16e8734bf0a8653ec64123ffe9.jpg,Alakazam,65
71,PokemonData\Alakazam\0cfe57a5bf674650b0de0c381df13ca0.jpg,Alakazam,65
72,PokemonData\Alakazam\0f957c10591a4acebdedc5e651606239.jpg,Alakazam,65
73,PokemonData\Alakazam\1024eabd08664f8497c74d605169ab0e.jpg,Alakazam,65
74,PokemonData\Alakazam\1115f34ff9884a6ab3ceaafa87a0dfd4.jpg,Alakazam,65
75,PokemonData\Alakazam\12973b3848734107b246eaee2a9cd698.jpg,Alakazam,65
76,PokemonData\Alakazam\17613a713b6f4176bdd59d452627ef9a.jpg,Alakazam,65
77,PokemonData\Alakazam\19e3ed99fae14c04af32a8d2f31d50cd.jpg,Alakazam,65
78,PokemonData\Alakazam\30bb8818f4574e319d59835d98dc5959.jpg,Alakazam,65
79,PokemonData\Alakazam\36a7787e151c454f9930925eb44d5514.jpg,Alakazam,65
80,PokemonData\Alakazam\5f696c035e35464b80243bb0e34be6df.jpg,Alakazam,65
81,PokemonData\Alakazam\601729d8dcd84c688d51072821a7dc8b.jpg,Alakazam,65
82,PokemonData\Alakazam\64527ef991ff42c6883623f263f3c2f4.jpg,Alakazam,65
83,PokemonData\Alakazam\6ca4cfa2ecd541778149fb573dc38276.jpg,Alakazam,65
84,PokemonData\Alakazam\8275eb86ab4a4b75b3629489f7292515.jpg,Alakazam,65
85,PokemonData\Alakazam\83d63caf8d904ea38f2a48e6ed926141.jpg,Alakazam,65
86,PokemonData\Alakazam\909d9e0aa3264423b8010a81ae230a74.jpg,Alakazam,65
87,PokemonData\Alakazam\91eb6d71040246758ab4294715d9d968.jpg,Alakazam,65
88,PokemonData\Alakazam\972631f1ee12457198eea11da2c681eb.jpg,Alakazam,65
89,PokemonData\Alakazam\a2365c6b200046588d69a4d8bd6b4d98.jpg,Alakazam,65
90,PokemonData\Alakazam\af93757c33894660855c1e238fc19137.jpg,Alakazam,65
91,PokemonData\Alakazam\dcc693898ecc4f3e9766e66c510fcaa3.jpg,Alakazam,65
92,PokemonData\Alakazam\dde6dba6b0204589be28d230ccef9c48.jpg,Alakazam,65
93,PokemonData\Alakazam\e4f9bb3159924d988611bd835ef5ffa5.jpg,Alakazam,65
94,PokemonData\Alakazam\f4116f977cf94064a9acec285237d4f8.jpg,Alakazam,65
95,PokemonData\Alakazam\fae7e19b15694b738383d0f57f600ed2.jpg,Alakazam,65
96,PokemonData\Arbok\11ec4ae1d62d41098d79892a4c6680fe.jpg,Arbok,24
